openalex_id,doi,title,abstract,referenced_works,publication_date
https://openalex.org/W3198147814,https://doi.org/10.1609/aaai.v36i10.21432,DialogLM: Pre-trained Model for Long Dialogue Understanding and Summarization,"Dialogue is an essential part of human communication and cooperation. Existing research mainly focuses on short dialogue scenarios in a one-on-one fashion. However, multi-person interactions in the real world, such as meetings or interviews, are frequently over a few thousand words. There is still a lack of corresponding research and powerful tools to understand and process such long dialogues. Therefore, in this work, we present a pre-training framework for long dialogue understanding and summarization. Considering the nature of long conversations, we propose a window-based denoising approach for generative pre-training. For a dialogue, it corrupts a window of text with dialogue-inspired noise, and guides the model to reconstruct this window based on the content of the remaining conversation. Furthermore, to process longer input, we augment the model with sparse attention which is combined with conventional attention in a hybrid manner. We conduct extensive experiments on five datasets of long dialogues, covering tasks of dialogue summarization, abstractive question answering and topic segmentation. Experimentally, we show that our pre-trained model DialogLM significantly surpasses the state-of-the-art models across datasets and tasks. Source code and all the pre-trained models are available on our GitHub repository (https://github.com/microsoft/DialogLM).","['https://openalex.org/W1557074680', 'https://openalex.org/W1591607137', 'https://openalex.org/W2125336414', 'https://openalex.org/W2154652894', 'https://openalex.org/W2159083595', 'https://openalex.org/W2172125983', 'https://openalex.org/W2419539795', 'https://openalex.org/W2626778328', 'https://openalex.org/W2896457183', 'https://openalex.org/W2945260553', 'https://openalex.org/W2963341956', 'https://openalex.org/W2965373594', 'https://openalex.org/W2969740599', 'https://openalex.org/W2970419734', 'https://openalex.org/W2971274815', 'https://openalex.org/W2980661038', 'https://openalex.org/W2982399380', 'https://openalex.org/W2988299267', 'https://openalex.org/W2988937804', 'https://openalex.org/W2996264288', 'https://openalex.org/W2997517014', 'https://openalex.org/W3006983028', 'https://openalex.org/W3007759824', 'https://openalex.org/W3015468748', 'https://openalex.org/W3033529678', 'https://openalex.org/W3034715004', 'https://openalex.org/W3034999214', 'https://openalex.org/W3035451444', 'https://openalex.org/W3045733172', 'https://openalex.org/W3083978629', 'https://openalex.org/W3084850341', 'https://openalex.org/W3085629518', 'https://openalex.org/W3089956691', 'https://openalex.org/W3093373170', 'https://openalex.org/W3098258760', 'https://openalex.org/W3100110884', 'https://openalex.org/W3101068439', 'https://openalex.org/W3104078590', 'https://openalex.org/W3110659220', 'https://openalex.org/W3111436535', 'https://openalex.org/W3111693342', 'https://openalex.org/W3125498921', 'https://openalex.org/W3131922516', 'https://openalex.org/W3134113520', 'https://openalex.org/W3142970963', 'https://openalex.org/W3143226010', 'https://openalex.org/W3153603860', 'https://openalex.org/W3155147984', 'https://openalex.org/W3158447592', 'https://openalex.org/W3162221622', 'https://openalex.org/W3164979202', 'https://openalex.org/W3165871279', 'https://openalex.org/W3166021751', 'https://openalex.org/W3166226379', 'https://openalex.org/W3169942382', 'https://openalex.org/W3170490008', 'https://openalex.org/W3171639395', 'https://openalex.org/W3171697871', 'https://openalex.org/W3172939667', 'https://openalex.org/W3176378783', 'https://openalex.org/W3176770275', 'https://openalex.org/W3177271673', 'https://openalex.org/W3182790326', 'https://openalex.org/W3199259836', 'https://openalex.org/W4287183331', 'https://openalex.org/W4287704453', 'https://openalex.org/W4287815000', 'https://openalex.org/W4295838474', 'https://openalex.org/W4304208854', 'https://openalex.org/W4353089798', 'https://openalex.org/W4385245566', 'https://openalex.org/W6605755270', 'https://openalex.org/W6633119129', 'https://openalex.org/W6682631176', 'https://openalex.org/W6766803791', 'https://openalex.org/W6771626834', 'https://openalex.org/W6774418012', 'https://openalex.org/W6781533629']",2022-06-28
https://openalex.org/W3169117666,https://doi.org/10.18653/v1/2021.sigdial-1.53,Coreference-Aware Dialogue Summarization,"Summarizing conversations via neural approaches has been gaining research traction lately, yet it is still challenging to obtain practical solutions. Examples of such challenges include unstructured information exchange in dialogues, informal interactions between speakers, and dynamic role changes of speakers as the dialogue evolves. Many of such challenges result in complex coreference links. Therefore, in this work, we investigate different approaches to explicitly incorporate coreference information in neural abstractive dialogue summarization models to tackle the aforementioned challenges. Experimental results show that the proposed approaches achieve state-of-the-art performance, implying it is useful to utilize coreference information in dialogue summarization. Evaluation results on factual correctness suggest such coreference-aware models are better at tracing the information flow among interlocutors and associating accurate status/actions with the corresponding interlocutors and person mentions.","['https://openalex.org/W1522301498', 'https://openalex.org/W1544827683', 'https://openalex.org/W1579838312', 'https://openalex.org/W2108325777', 'https://openalex.org/W2153190547', 'https://openalex.org/W2606974598', 'https://openalex.org/W2739484150', 'https://openalex.org/W2768957049', 'https://openalex.org/W2889984458', 'https://openalex.org/W2908336025', 'https://openalex.org/W2912762447', 'https://openalex.org/W2946359678', 'https://openalex.org/W2948947170', 'https://openalex.org/W2949530332', 'https://openalex.org/W2949615363', 'https://openalex.org/W2951855948', 'https://openalex.org/W2952809536', 'https://openalex.org/W2953369973', 'https://openalex.org/W2962704246', 'https://openalex.org/W2962965405', 'https://openalex.org/W2962985882', 'https://openalex.org/W2963045354', 'https://openalex.org/W2963087868', 'https://openalex.org/W2963341956', 'https://openalex.org/W2963403868', 'https://openalex.org/W2963676814', 'https://openalex.org/W2964015378', 'https://openalex.org/W2964121744', 'https://openalex.org/W2964144561', 'https://openalex.org/W2970419734', 'https://openalex.org/W2970745243', 'https://openalex.org/W2970971581', 'https://openalex.org/W2979826702', 'https://openalex.org/W2982399380', 'https://openalex.org/W2989743967', 'https://openalex.org/W3008323921', 'https://openalex.org/W3011411500', 'https://openalex.org/W3021527274', 'https://openalex.org/W3034961030', 'https://openalex.org/W3034999214', 'https://openalex.org/W3080555959', 'https://openalex.org/W3098824823', 'https://openalex.org/W3100560913', 'https://openalex.org/W3104257895', 'https://openalex.org/W3141940864', 'https://openalex.org/W3182790326', 'https://openalex.org/W4288351520', 'https://openalex.org/W4295312788', 'https://openalex.org/W4304208854', 'https://openalex.org/W4385245566']",2021-01-01
https://openalex.org/W4287887652,https://doi.org/10.18653/v1/2022.naacl-main.415,CONFIT: Toward Faithful Dialogue Summarization with Linguistically-Informed Contrastive Fine-tuning,"Factual inconsistencies in generated summaries severely limit the practical applications of abstractive dialogue summarization. Although significant progress has been achieved by using pre-trained models, substantial amounts of hallucinated content are found during the human evaluation. Pre-trained models are most commonly fine-tuned with cross-entropy loss for text summarization, which may not be an optimal strategy. In this work, we provide a typology of factual errors with annotation data to highlight the types of errors and move away from a binary understanding of factuality. We further propose a training strategy that improves the factual consistency and overall quality of summaries via a novel contrastive fine-tuning, called ConFiT. Based on our linguistically-informed typology of errors, we design different modular objectives that each target a specific type. Specifically, we utilize hard negative samples with errors to reduce the generation of factual inconsistency. In order to capture the key information between speakers, we also design a dialogue-specific loss. Using human evaluation and automatic faithfulness metrics, we show that our model significantly reduces all kinds of factual errors on the dialogue summarization, SAMSum corpus. Moreover, our model could be generalized to the meeting summarization, AMI corpus, and it produces significantly higher scores than most of the baselines on both datasets regarding word-overlap metrics.","['https://openalex.org/W4287887533', 'https://openalex.org/W3203684684', 'https://openalex.org/W4353089798', 'https://openalex.org/W4304208854', 'https://openalex.org/W3175218683', 'https://openalex.org/W3175443153', 'https://openalex.org/W3197510788', 'https://openalex.org/W4205477024', 'https://openalex.org/W3176770275', 'https://openalex.org/W4248634141', 'https://openalex.org/W3169117666', 'https://openalex.org/W3104257895', 'https://openalex.org/W3212362289', 'https://openalex.org/W3085629518', 'https://openalex.org/W3106234277', 'https://openalex.org/W3100560913', 'https://openalex.org/W3123623112', 'https://openalex.org/W3200681609', 'https://openalex.org/W3176456866', 'https://openalex.org/W3163186805', 'https://openalex.org/W3204515301', 'https://openalex.org/W3116498179', 'https://openalex.org/W3167002470', 'https://openalex.org/W3184798370', 'https://openalex.org/W3203962933', 'https://openalex.org/W4288095748', 'https://openalex.org/W3176378783', 'https://openalex.org/W3174564679', 'https://openalex.org/W4287022345', 'https://openalex.org/W3169942382', 'https://openalex.org/W3152542899', 'https://openalex.org/W4287614078', 'https://openalex.org/W3117373959', 'https://openalex.org/W3170432046', 'https://openalex.org/W3171639395', 'https://openalex.org/W1525595230', 'https://openalex.org/W2606974598', 'https://openalex.org/W2996264288', 'https://openalex.org/W3034383590', 'https://openalex.org/W3034188538', 'https://openalex.org/W3034999214', 'https://openalex.org/W2962985882', 'https://openalex.org/W2014571624', 'https://openalex.org/W2154652894', 'https://openalex.org/W2858627132', 'https://openalex.org/W2768957049']",2022-01-01
https://openalex.org/W4389524299,https://doi.org/10.18653/v1/2023.newsum-1.6,In-context Learning of Large Language Models for Controlled Dialogue Summarization: A Holistic Benchmark and Empirical Analysis,"Large Language Models (LLMs) have shown significant performance in numerous NLP tasks, including summarization and controlled text generation. A notable capability of LLMs is in-context learning (ICL), where the model learns new tasks using input-output pairs in the prompt without any parameter update. However, the performance of LLMs in the context of few-shot abstractive dialogue summarization remains underexplored. This study evaluates various state-of-the-art LLMs on the SAMSum dataset within a few-shot framework. We assess these models in both controlled (entity control, length control, and person-focused planning) and uncontrolled settings, establishing a comprehensive benchmark in few-shot dialogue summarization. Our findings provide insights into summary quality and model controllability, offering a crucial reference for future research in dialogue summarization.","['https://openalex.org/W3093517588', 'https://openalex.org/W4229005866', 'https://openalex.org/W4304208854', 'https://openalex.org/W2963096510', 'https://openalex.org/W2973049837', 'https://openalex.org/W2989743967', 'https://openalex.org/W3169117666', 'https://openalex.org/W3169483174', 'https://openalex.org/W3204515301', 'https://openalex.org/W2154652894', 'https://openalex.org/W4386290290', 'https://openalex.org/W4377865110', 'https://openalex.org/W4361230777', 'https://openalex.org/W4385572967', 'https://openalex.org/W4319793767', 'https://openalex.org/W4389009433', 'https://openalex.org/W4322718191', 'https://openalex.org/W4312205996', 'https://openalex.org/W4362707004', 'https://openalex.org/W4380136141', 'https://openalex.org/W4308244616', 'https://openalex.org/W4389519092', 'https://openalex.org/W4385567149', 'https://openalex.org/W3111372071']",2023-01-01
https://openalex.org/W4285126962,https://doi.org/10.18653/v1/2022.dialdoc-1.1,MSAMSum: Towards Benchmarking Multi-lingual Dialogue Summarization,"Dialogue summarization helps users capture salient information from various types of dialogues has received much attention recently. However, current works mainly focus on English dialogue summarization, leaving other languages less well explored. Therefore, we present a multi-lingual dialogue summarization dataset, namely MSAMSum, which covers dialogue-summary pairs in six languages. Specifically, we derive MSAMSum from the standard SAMSum using sophisticated translation techniques and further employ two methods to ensure the integral translation quality and summary factual consistency. Given the proposed MSAMum, we systematically set up five multi-lingual settings for this task, including a novel mix-lingual dialogue summarization setting. To illustrate the utility of our dataset, we benchmark various experiments with pre-trained models under different settings and report results in both supervised and zero-shot manners. We also discuss some future works towards this task to motivate future researches.","['https://openalex.org/W2154652894', 'https://openalex.org/W2125336414', 'https://openalex.org/W2129683077', 'https://openalex.org/W3176770275', 'https://openalex.org/W3101729512', 'https://openalex.org/W3188385856', 'https://openalex.org/W3174564679', 'https://openalex.org/W3176967746', 'https://openalex.org/W3158419028', 'https://openalex.org/W3176378783', 'https://openalex.org/W4385245566', 'https://openalex.org/W3113514077', 'https://openalex.org/W3175374354', 'https://openalex.org/W4312450628', 'https://openalex.org/W3173360659', 'https://openalex.org/W4255134236', 'https://openalex.org/W3100560913', 'https://openalex.org/W4287694131', 'https://openalex.org/W3169942382', 'https://openalex.org/W4304208854', 'https://openalex.org/W3171639395', 'https://openalex.org/W3212499710', 'https://openalex.org/W3154984984', 'https://openalex.org/W3162221622', 'https://openalex.org/W3104257895', 'https://openalex.org/W4353089798', 'https://openalex.org/W2194775991', 'https://openalex.org/W2945465739', 'https://openalex.org/W3035259249', 'https://openalex.org/W3001434439', 'https://openalex.org/W3034999214', 'https://openalex.org/W2998518989']",2022-01-01
https://openalex.org/W4281486672,https://doi.org/10.36227/techrxiv.16652392.v2,Prompt scoring system for dialogue summarization using GPT-3,"&lt;p&gt;Recent results in language processing show that language models are capable of performing several natural language tasks without the need of supervised learning. A challenging task for pre-trained language models is dialogue summarization. One way of generating summaries is engineering prompt templates for few-shot training. However, a static approach of creating prompts leads to unreliable outcomes between different classes of dialogues. Focusing on the dialogues structure properties, we propose a scoring system to improve the few-shot training performances by building tuned prompts composed by the highest scored dialogue samples. Our evaluation based on ROUGE scores and human evaluation shows that there is improvement for the experiments where we made use of the score system. The positive results are validated by all the three large-scale datasets we used in testing. All experiments were performed within the framework of the GPT-3 API.&lt;/p&gt;","['https://openalex.org/W2154652894', 'https://openalex.org/W2460478911', 'https://openalex.org/W2883730939', 'https://openalex.org/W2904308181', 'https://openalex.org/W2904790185', 'https://openalex.org/W2945260553', 'https://openalex.org/W2979826702', 'https://openalex.org/W2982399380', 'https://openalex.org/W2988435740', 'https://openalex.org/W2988937804', 'https://openalex.org/W2989743967', 'https://openalex.org/W2996264288', 'https://openalex.org/W2999884159', 'https://openalex.org/W3088169793', 'https://openalex.org/W3092133063', 'https://openalex.org/W3094217371', 'https://openalex.org/W3099474967', 'https://openalex.org/W3100560913', 'https://openalex.org/W3104257895', 'https://openalex.org/W3116498179', 'https://openalex.org/W3126960149', 'https://openalex.org/W3132736064', 'https://openalex.org/W3134113520', 'https://openalex.org/W3154984984', 'https://openalex.org/W3155853519', 'https://openalex.org/W3156470785', 'https://openalex.org/W3158419028', 'https://openalex.org/W3159259047', 'https://openalex.org/W3162221622', 'https://openalex.org/W3164979202', 'https://openalex.org/W3167002470', 'https://openalex.org/W3167147997', 'https://openalex.org/W3169942382', 'https://openalex.org/W3172943453', 'https://openalex.org/W3173777717', 'https://openalex.org/W3175218683', 'https://openalex.org/W3175443153', 'https://openalex.org/W3176770275', 'https://openalex.org/W3188542058', 'https://openalex.org/W3196696529', 'https://openalex.org/W3207937903', 'https://openalex.org/W4205088978', 'https://openalex.org/W4285602465', 'https://openalex.org/W4287028759', 'https://openalex.org/W4287207937', 'https://openalex.org/W4287210970', 'https://openalex.org/W4287636206', 'https://openalex.org/W4288088047', 'https://openalex.org/W4292779060', 'https://openalex.org/W4304208854', 'https://openalex.org/W4385245566', 'https://openalex.org/W6739901393', 'https://openalex.org/W6778883912', 'https://openalex.org/W6801132818']",2022-05-25
https://openalex.org/W4385572954,https://doi.org/10.18653/v1/2022.emnlp-main.329,STRUDEL: Structured Dialogue Summarization for Dialogue Comprehension,"Borui Wang, Chengcheng Feng, Arjun Nair, Madelyn Mao, Jai Desai, Asli Celikyilmaz, Haoran Li, Yashar Mehdad, Dragomir Radev. Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing. 2022.","['https://openalex.org/W3175802991', 'https://openalex.org/W3199038240', 'https://openalex.org/W3162612747', 'https://openalex.org/W3175218683', 'https://openalex.org/W3176659426', 'https://openalex.org/W3173210704', 'https://openalex.org/W3034446185', 'https://openalex.org/W2996428491', 'https://openalex.org/W3086456409', 'https://openalex.org/W2965373594', 'https://openalex.org/W2963341956', 'https://openalex.org/W2912904516', 'https://openalex.org/W4205310876', 'https://openalex.org/W4211262808', 'https://openalex.org/W4304208854', 'https://openalex.org/W4287212576', 'https://openalex.org/W4394655899', 'https://openalex.org/W4287824654', 'https://openalex.org/W4287636206']",2022-01-01
https://openalex.org/W4226047536,https://doi.org/10.24963/ijcai.2022/768,Who Says What to Whom: A Survey of Multi-Party Conversations,"Multi-party conversations (MPCs) are a more practical and challenging scenario involving more than two interlocutors. This research topic has drawn significant attention from both academia and industry, and it is nowadays counted as one of the most promising research areas in the field of dialogue systems. In general, MPC algorithms aim at addressing the issues of Who says What to Whom, specifically, who speaks, say what, and address whom. The complicated interactions between interlocutors, between utterances, and between interlocutors and utterances develop many variant tasks of MPCs worth investigation. In this paper, we present a comprehensive survey of recent advances in text-based MPCs. In particular, we first summarize recent advances on the research of MPC context modeling including dialogue discourse parsing, dialogue flow modeling and self-supervised training for MPCs. Then we review the state-of-the-art models categorized by Who says What to Whom in MPCs. Finally, we highlight the challenges which are not yet well addressed in MPCs and present future research directions.","['https://openalex.org/W2561158378', 'https://openalex.org/W2579198228', 'https://openalex.org/W2605266158', 'https://openalex.org/W2048044409', 'https://openalex.org/W2121912514', 'https://openalex.org/W2113063049', 'https://openalex.org/W2151209496', 'https://openalex.org/W2155707639', 'https://openalex.org/W2101880260', 'https://openalex.org/W2115615127', 'https://openalex.org/W2806367735', 'https://openalex.org/W2803119681', 'https://openalex.org/W2250268452', 'https://openalex.org/W2245854203', 'https://openalex.org/W2949600515', 'https://openalex.org/W2962883855', 'https://openalex.org/W2891416139', 'https://openalex.org/W2886001316', 'https://openalex.org/W2962854379', 'https://openalex.org/W2896457183', 'https://openalex.org/W2963323070', 'https://openalex.org/W2963926728', 'https://openalex.org/W2954960065', 'https://openalex.org/W2952813980', 'https://openalex.org/W2469477431', 'https://openalex.org/W252118688', 'https://openalex.org/W1511137888', 'https://openalex.org/W1505422262', 'https://openalex.org/W1596410906', 'https://openalex.org/W2785891858', 'https://openalex.org/W2756320212', 'https://openalex.org/W2798456655', 'https://openalex.org/W2986683329', 'https://openalex.org/W2973080953', 'https://openalex.org/W3015322406', 'https://openalex.org/W3015071427', 'https://openalex.org/W2988937804', 'https://openalex.org/W3034545352', 'https://openalex.org/W3015297483', 'https://openalex.org/W2970185413', 'https://openalex.org/W2996227762', 'https://openalex.org/W2998672049', 'https://openalex.org/W2985882473', 'https://openalex.org/W3007008027', 'https://openalex.org/W2998563994', 'https://openalex.org/W3197275000', 'https://openalex.org/W3188331065', 'https://openalex.org/W3104997146', 'https://openalex.org/W3192204232', 'https://openalex.org/W4246992131', 'https://openalex.org/W3121541553', 'https://openalex.org/W3188385856', 'https://openalex.org/W3186248900', 'https://openalex.org/W3101471490', 'https://openalex.org/W4304208854', 'https://openalex.org/W4289672315', 'https://openalex.org/W3187800134', 'https://openalex.org/W3102606416', 'https://openalex.org/W3197748303', 'https://openalex.org/W3198950523', 'https://openalex.org/W4317471952', 'https://openalex.org/W3162479984', 'https://openalex.org/W4288345685', 'https://openalex.org/W3177271673', 'https://openalex.org/W4288088110', 'https://openalex.org/W3196292458', 'https://openalex.org/W3197287583', 'https://openalex.org/W3183378213', 'https://openalex.org/W4285290300']",2022-07-01
https://openalex.org/W4281657898,https://doi.org/10.18653/v1/2022.acl-long.182,Other Roles Matter! Enhancing Role-Oriented Dialogue Summarization via Role Interactions,"Role-oriented dialogue summarization is to generate summaries for different roles in the dialogue, e.g., merchants and consumers. Existing methods handle this task by summarizing each role's content separately and thus are prone to ignore the information from other roles. However, we believe that other roles' content could benefit the quality of summaries, such as the omitted information mentioned by other roles. Therefore, we propose a novel role interaction enhanced method for role-oriented dialogue summarization. It adopts cross attention and decoder self-attention interactions to interactively acquire other roles' critical information. The cross attention interaction aims to select other roles' critical dialogue utterances, while the decoder self-attention interaction aims to obtain key information from other roles' summaries. Experimental results have shown that our proposed method significantly outperforms strong baselines on two public role-oriented dialogue summarization datasets. Extensive analyses have demonstrated that other roles' content could help generate summaries with more complete semantics and correct topic structures.","['https://openalex.org/W2935811960', 'https://openalex.org/W2952890017', 'https://openalex.org/W2963341956', 'https://openalex.org/W2962985882', 'https://openalex.org/W2936695845', 'https://openalex.org/W3034999214', 'https://openalex.org/W2970785793', 'https://openalex.org/W2970611505', 'https://openalex.org/W2998386507', 'https://openalex.org/W2970419734', 'https://openalex.org/W2985237994', 'https://openalex.org/W2101105183', 'https://openalex.org/W2251442452', 'https://openalex.org/W2606974598', 'https://openalex.org/W154662739', 'https://openalex.org/W2160204597', 'https://openalex.org/W2161068821', 'https://openalex.org/W3163186805', 'https://openalex.org/W3100560913', 'https://openalex.org/W3104257895', 'https://openalex.org/W3212198963', 'https://openalex.org/W3169117666', 'https://openalex.org/W3171639395', 'https://openalex.org/W3111693342', 'https://openalex.org/W3177464472', 'https://openalex.org/W4304208854', 'https://openalex.org/W3116079511', 'https://openalex.org/W3085629518', 'https://openalex.org/W3085400433', 'https://openalex.org/W3167002470', 'https://openalex.org/W3175218683']",2022-01-01
https://openalex.org/W4385572967,https://doi.org/10.18653/v1/2022.emnlp-main.325,Analyzing and Evaluating Faithfulness in Dialogue Summarization,"Dialogue summarization is abstractive in nature, making it suffer from factual errors. The factual correctness of summaries has the highest priority before practical applications. Many efforts have been made to improve faithfulness in text summarization. However, there is a lack of systematic study on dialogue summarization systems. In this work, we first perform the fine-grained human analysis on the faithfulness of dialogue summaries and observe that over 35% of generated summaries are faithfully inconsistent respective the source dialogues. Furthermore, we present a new model-level faithfulness evaluation method. It examines generation models with multi-choice questions created by rule-based transformations. Experimental results show that our evaluation schema is a strong proxy for the factual correctness of summarization models. The human-annotated faithfulness samples and the evaluation toolkit are released to facilitate future research toward faithful dialogue summarization.","['https://openalex.org/W2963929190', 'https://openalex.org/W2951211142', 'https://openalex.org/W2949615363', 'https://openalex.org/W2888482885', 'https://openalex.org/W2936695845', 'https://openalex.org/W2971034336', 'https://openalex.org/W2612675303', 'https://openalex.org/W2606974598', 'https://openalex.org/W2768957049', 'https://openalex.org/W3169283369', 'https://openalex.org/W3199926081', 'https://openalex.org/W3141940864', 'https://openalex.org/W3159259047', 'https://openalex.org/W3202794254', 'https://openalex.org/W3208827760', 'https://openalex.org/W3169117666', 'https://openalex.org/W3198675293', 'https://openalex.org/W3200681609', 'https://openalex.org/W3169942382', 'https://openalex.org/W3170432046', 'https://openalex.org/W2250361277', 'https://openalex.org/W3034188538', 'https://openalex.org/W2996264288', 'https://openalex.org/W3042185737', 'https://openalex.org/W3034999214', 'https://openalex.org/W3042631625', 'https://openalex.org/W3035050380', 'https://openalex.org/W3034383590', 'https://openalex.org/W1828163288', 'https://openalex.org/W2154652894', 'https://openalex.org/W4225934689', 'https://openalex.org/W4241891521', 'https://openalex.org/W4206850841', 'https://openalex.org/W4205477024', 'https://openalex.org/W4285428908', 'https://openalex.org/W4297411672', 'https://openalex.org/W4304208854', 'https://openalex.org/W4288089799', 'https://openalex.org/W4287887652', 'https://openalex.org/W4385572316', 'https://openalex.org/W3091889354', 'https://openalex.org/W3104257895', 'https://openalex.org/W3100560913', 'https://openalex.org/W3102645206', 'https://openalex.org/W3106234277', 'https://openalex.org/W3099766584', 'https://openalex.org/W3101551503', 'https://openalex.org/W2101105183', 'https://openalex.org/W2125336414']",2022-01-01
https://openalex.org/W4287854670,https://doi.org/10.18653/v1/2022.naacl-main.418,DialSummEval: Revisiting Summarization Evaluation for Dialogues,"Dialogue summarization is receiving increasing attention from researchers due to its extraordinary difficulty and unique application value. We observe that current dialogue summarization models have flaws that may not be well exposed by frequently used metrics such as ROUGE. In our paper, we re-evaluate 18 categories of metrics in terms of four dimensions: coherence, consistency, fluency and relevance, as well as a unified human evaluation of various models for the first time. Some noteworthy trends which are different from the conventional summarization tasks are identified. We will release DialSummEval, a multi-faceted dataset of human judgments containing the outputs of 14 models on SAMSum.","['https://openalex.org/W3034999214', 'https://openalex.org/W2971034336', 'https://openalex.org/W2996264288', 'https://openalex.org/W2970892365', 'https://openalex.org/W2970785793', 'https://openalex.org/W2250342921', 'https://openalex.org/W2182572585', 'https://openalex.org/W2251904119', 'https://openalex.org/W2251023345', 'https://openalex.org/W77961983', 'https://openalex.org/W136732505', 'https://openalex.org/W658020064', 'https://openalex.org/W2606974598', 'https://openalex.org/W2729046720', 'https://openalex.org/W2945260553', 'https://openalex.org/W2888482885', 'https://openalex.org/W2947771965', 'https://openalex.org/W2964813902', 'https://openalex.org/W2949615363', 'https://openalex.org/W2936695845', 'https://openalex.org/W2154652894', 'https://openalex.org/W2102065370', 'https://openalex.org/W2123301721', 'https://openalex.org/W1983578042', 'https://openalex.org/W3101551503', 'https://openalex.org/W3170432046', 'https://openalex.org/W3174073137', 'https://openalex.org/W4205088978', 'https://openalex.org/W3199259836', 'https://openalex.org/W3101017384', 'https://openalex.org/W3200681609', 'https://openalex.org/W3104257895', 'https://openalex.org/W3099766584', 'https://openalex.org/W3212923188', 'https://openalex.org/W4205477024', 'https://openalex.org/W3167002470', 'https://openalex.org/W3176456866', 'https://openalex.org/W3169283369', 'https://openalex.org/W4385245566', 'https://openalex.org/W3116498179', 'https://openalex.org/W3196326437', 'https://openalex.org/W3176770275', 'https://openalex.org/W3158419028', 'https://openalex.org/W3188385856', 'https://openalex.org/W3100560913', 'https://openalex.org/W3176378783', 'https://openalex.org/W3098968529', 'https://openalex.org/W3106234277', 'https://openalex.org/W3169942382', 'https://openalex.org/W3204515301', 'https://openalex.org/W4304208854', 'https://openalex.org/W3175443153', 'https://openalex.org/W4287887652', 'https://openalex.org/W3159259047', 'https://openalex.org/W3175218683', 'https://openalex.org/W2741672218', 'https://openalex.org/W2101105183']",2022-01-01
https://openalex.org/W3212538717,https://doi.org/10.18653/v1/2021.emnlp-main.499,GupShup: Summarizing Open-Domain Code-Switched Conversations,"Laiba Mehnaz, Debanjan Mahata, Rakesh Gosangi, Uma Sushmitha Gunturi, Riya Jain, Gauri Gupta, Amardeep Kumar, Isabelle G. Lee, Anish Acharya, Rajiv Ratn Shah. Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing. 2021.","['https://openalex.org/W1537058117', 'https://openalex.org/W1544827683', 'https://openalex.org/W1591607137', 'https://openalex.org/W1783519389', 'https://openalex.org/W1887128391', 'https://openalex.org/W2014962660', 'https://openalex.org/W2078735333', 'https://openalex.org/W2101105183', 'https://openalex.org/W2123301721', 'https://openalex.org/W2125336414', 'https://openalex.org/W2153190547', 'https://openalex.org/W2154652894', 'https://openalex.org/W2168708086', 'https://openalex.org/W2250548009', 'https://openalex.org/W2251442452', 'https://openalex.org/W2251678408', 'https://openalex.org/W2406745380', 'https://openalex.org/W2462558730', 'https://openalex.org/W2528420710', 'https://openalex.org/W2567361090', 'https://openalex.org/W2568509762', 'https://openalex.org/W2571593272', 'https://openalex.org/W2572757783', 'https://openalex.org/W2622863697', 'https://openalex.org/W2743691218', 'https://openalex.org/W2747481658', 'https://openalex.org/W2790009703', 'https://openalex.org/W2790142169', 'https://openalex.org/W2805807672', 'https://openalex.org/W2884730575', 'https://openalex.org/W2886890203', 'https://openalex.org/W2887116241', 'https://openalex.org/W2887966409', 'https://openalex.org/W2888482885', 'https://openalex.org/W2889984458', 'https://openalex.org/W2912762447', 'https://openalex.org/W2936695845', 'https://openalex.org/W2949615363', 'https://openalex.org/W2962722852', 'https://openalex.org/W2962849707', 'https://openalex.org/W2963285772', 'https://openalex.org/W2963831170', 'https://openalex.org/W2963926728', 'https://openalex.org/W2971034336', 'https://openalex.org/W2979599767', 'https://openalex.org/W2989743967', 'https://openalex.org/W2996403597', 'https://openalex.org/W2996699929', 'https://openalex.org/W3015428881', 'https://openalex.org/W3035032094', 'https://openalex.org/W3035252911', 'https://openalex.org/W3036120435', 'https://openalex.org/W3045321166', 'https://openalex.org/W3088665616', 'https://openalex.org/W3100560913', 'https://openalex.org/W3104257895', 'https://openalex.org/W3106549878', 'https://openalex.org/W3116079511', 'https://openalex.org/W3159259047', 'https://openalex.org/W3182790326', 'https://openalex.org/W4237155282', 'https://openalex.org/W4241891521', 'https://openalex.org/W4288408927', 'https://openalex.org/W4297684020', 'https://openalex.org/W4304208854', 'https://openalex.org/W4387627603']",2021-01-01
