status,title,normalized_title,doi,openalex_id,arxiv_id,published_date,criteria_hash,source,updated_at,round
include,A Temporal Extension of Latent Dirichlet Allocation for Unsupervised Acoustic Unit Discovery,atemporalextensionoflatentdirichletallocationforunsupervisedacousticunitdiscovery,10.48550/arxiv.2206.11706,,2206.11706,2022-06-23,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,JukeDrummer: Conditional Beat-aware Audio-domain Drum Accompaniment Generation via Transformer VQ-VAE,jukedrummer:conditionalbeat-awareaudio-domaindrumaccompanimentgenerationviatransformervq-vae,10.48550/arxiv.2210.06007,,2210.06007,2022-10-12,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,BEATs: Audio Pre-Training with Acoustic Tokenizers,beats:audiopre-trainingwithacoustictokenizers,10.48550/arxiv.2212.09058,,2212.09058,2022-12-18,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,FoundationTTS: Text-to-Speech for ASR Customization with Generative Language Model,foundationtts:text-to-speechforasrcustomizationwithgenerativelanguagemodel,10.48550/arxiv.2303.02939,,2303.02939,2023-03-06,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,Pac-HuBERT: Self-Supervised Music Source Separation via Primitive Auditory Clustering and Hidden-Unit BERT,pac-hubert:self-supervisedmusicsourceseparationviaprimitiveauditoryclusteringandhidden-unitbert,10.48550/arxiv.2304.02160,,2304.02160,2023-04-04,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,Wav2code: Restore Clean Speech Representations via Codebook Lookup for Noise-Robust ASR,wav2code:restorecleanspeechrepresentationsviacodebooklookupfornoise-robustasr,10.48550/arxiv.2304.04974,,2304.04974,2023-04-11,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,UniCATS: A Unified Context-Aware Text-to-Speech Framework with Contextual VQ-Diffusion and Vocoding,unicats:aunifiedcontext-awaretext-to-speechframeworkwithcontextualvq-diffusionandvocoding,10.1609/aaai.v38i16.29747,,2306.07547,2023-06-13,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,Pushing the Limits of Unsupervised Unit Discovery for SSL Speech Representation,pushingthelimitsofunsupervisedunitdiscoveryforsslspeechrepresentation,10.48550/arxiv.2306.08920,,2306.08920,2023-06-15,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,LM-VC: Zero-shot Voice Conversion via Speech Generation based on Language Models,lm-vc:zero-shotvoiceconversionviaspeechgenerationbasedonlanguagemodels,10.48550/arxiv.2306.10521,,2306.10521,2023-06-18,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,VampNet: Music Generation via Masked Acoustic Token Modeling,vampnet:musicgenerationviamaskedacoustictokenmodeling,10.48550/arxiv.2307.04686,,2307.04686,2023-07-10,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,SpeechTokenizer: Unified Speech Tokenizer for Speech Large Language Models,speechtokenizer:unifiedspeechtokenizerforspeechlargelanguagemodels,10.48550/arxiv.2308.16692,,2308.16692,2023-08-31,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,QS-TTS: Towards Semi-Supervised Text-to-Speech Synthesis via Vector-Quantized Self-Supervised Speech Representation Learning,qs-tts:towardssemi-supervisedtext-to-speechsynthesisviavector-quantizedself-supervisedspeechrepresentationlearning,10.48550/arxiv.2309.00126,,2309.00126,2023-08-31,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,RepCodec: A Speech Representation Codec for Speech Tokenization,repcodec:aspeechrepresentationcodecforspeechtokenization,10.48550/arxiv.2309.00169,,2309.00169,2023-08-31,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,Voxtlm: unified decoder-only models for consolidating speech recognition/synthesis and speech/text continuation tasks,voxtlm:unifieddecoder-onlymodelsforconsolidatingspeechrecognition/synthesisandspeech/textcontinuationtasks,10.48550/arxiv.2309.07937,,2309.07937,2023-09-14,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,Improving Language Model-Based Zero-Shot Text-to-Speech Synthesis with Multi-Scale Acoustic Prompts,improvinglanguagemodel-basedzero-shottext-to-speechsynthesiswithmulti-scaleacousticprompts,10.48550/arxiv.2309.11977,,2309.11977,2023-09-21,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,Acoustic BPE for Speech Generation with Discrete Tokens,acousticbpeforspeechgenerationwithdiscretetokens,10.48550/arxiv.2310.14580,,2310.14580,2023-10-23,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
include,Transduce and Speak: Neural Transducer for Text-to-Speech with Semantic Token Prediction,transduceandspeak:neuraltransducerfortext-to-speechwithsemantictokenprediction,10.48550/arxiv.2311.02898,,2311.02898,2023-11-06,d3cde4fb3f0f0914b2aec218448cb1734f7532db1a8791a8d569e62d8a96e1b8,base_review,2026-01-02T11:32:21.702033+00:00,0
